 planet number, system id,  a [AU],   M [Mearth],  R [Rearth],  ecc,   inc,  stellar [Fe/H]      
            260              14     0.10362         0.13315         0.51158         0.73982E-05     0.37252E-03    -0.99488E-01
            261              14     0.12356         0.14916         0.53055         0.30072E-05     0.42463E-03    -0.99488E-01
            262              14     0.66124         0.27311         0.64977         0.16998E-05     0.26695E-02    -0.99488E-01
            263              14     0.95443E-01     0.13720         0.51600         0.16921E-04     0.38411E-03    -0.99488E-01
            264              14      4.6788         0.19587         0.72437         0.23764E-04     0.68675E-02    -0.99488E-01
            265              14     0.68388E-01     0.12009         0.52732         0.88746E-06     0.18881E-03    -0.99488E-01
            266              14     0.73962         0.27753         0.65331         0.24684E-05     0.30470E-02    -0.99488E-01
            267              14      37.364         0.99969E-01     0.61079         0.11202E-03     0.98900E-04    -0.99488E-01
            268              14      1.0657         0.28987         0.66226         0.35352E-03     0.33555E-02    -0.99488E-01
            269              14     0.36005         0.16293         0.54903         0.86901E-06     0.94901E-03    -0.99488E-01
            270              14     0.59618E-01     0.11404         0.51884         0.11709E-05     0.11458E-03    -0.99488E-01
            271              14      25.668         0.10116         0.96461         0.91004E-04     0.95385E-02    -0.99488E-01
            272              14      16.670         0.10677          1.6053         0.73756E-04     0.89014E-02    -0.99488E-01
            273              14     0.14030         0.15530         0.53729         0.44701E-05     0.61238E-03    -0.99488E-01
            274              14     0.33725         0.22192         0.60434         0.15021E-05     0.11289E-03    -0.99488E-01
            275              14      3.8207         0.29863         0.82655         0.23251E-04     0.40926E-02    -0.99488E-01
            276              14      30.180         0.10053         0.84989         0.10120E-03     0.93331E-02    -0.99488E-01
            277              14      3.0919         0.35239         0.85585         0.16324E-04     0.75104E-02    -0.99488E-01
            278              14      8.7006         0.12924         0.73511         0.50646E-04     0.84659E-02    -0.99488E-01
            279              14     0.16450         0.17139         0.55375         0.13237E-01     0.36575E-03    -0.99488E-01
            280              15      13.414         0.17739         0.91232         0.43937E-04     0.13100E-03    -0.45830E-01
            281              15      11.649         0.21362         0.94388         0.37374E-04     0.91719E-02    -0.45830E-01
            282              15      21.896         0.10925         0.83917         0.76165E-04     0.73366E-02    -0.45830E-01
            283              15     0.22322         0.39146         0.71929         0.22513E-05     0.17881E-06    -0.45830E-01
            284              15     0.56614E-01     0.13200         0.54384         0.92477E-06     0.62372E-06    -0.45830E-01
            285              15     0.11055         0.31519         0.67215         0.21958E-05     0.12197E-06    -0.45830E-01
            286              15      25.300         0.10479         0.89126         0.71935E-04     0.25245E-02    -0.45830E-01
            287              15     0.33602         0.25217         0.62920         0.15248E-04     0.67115E-05    -0.45830E-01
            288              15     0.81369          1.4543          1.5667         0.97907E-05     0.21377E-05    -0.45830E-01
            289              15     0.11834         0.16609         0.54916         0.23876E-05     0.12560E-05    -0.45830E-01
            290              15      10.926         0.21865         0.93767         0.41485E-04     0.19549E-03    -0.45830E-01
            291              15     0.79933E-01     0.22822         0.60574         0.14055E-05     0.21073E-07    -0.45830E-01
            292              15      34.826         0.10243         0.99690         0.29146E-03     0.54367E-02    -0.45830E-01
            293              15     0.26771         0.57557         0.81372         0.68234E-05     0.21073E-07    -0.45830E-01
            294              15      10.205         0.22783         0.93443         0.74397E-04     0.84276E-02    -0.45830E-01
            295              15     0.18786         0.54844         0.79830         0.14136E-01     0.72772E-06    -0.45830E-01
            296              15      23.796         0.10626         0.86857         0.68240E-04     0.13266E-02    -0.45830E-01
            297              15      5.1376         0.98023          1.4465         0.10690E-04     0.51276E-02    -0.45830E-01
            298              15      6.3312         0.53675          1.1620         0.17092E-04     0.41269E-03    -0.45830E-01
            299              15      1.9427         0.75984          1.1747         0.41586E-05     0.89472E-03    -0.45830E-01
            300              16      22.803         0.10608         0.84124         0.71948E-04     0.93100E-02    -0.34016    
            301              16     0.19456         0.15345         0.53477         0.69685E-05     0.27482E-04    -0.34016    
            302              16     0.11526         0.19066         0.57338         0.52203E-05     0.53871E-06    -0.34016    
            303              16      15.973         0.11780         0.70177         0.54463E-04     0.40635E-03    -0.34016    
            304              16      28.854         0.10238         0.88631         0.78348E-04     0.21986E-02    -0.34016    
            305              16      5.8807         0.28280         0.99671         0.21985E-04     0.18447E-03    -0.34016    
            306              16      1.5965         0.38554         0.72601         0.45980E-05     0.55593E-03    -0.34016    
            307              16      31.380         0.10493          1.0939         0.81425E-04     0.62535E-02    -0.34016    
            308              16      3.2380         0.67668          1.1432         0.50352E-05     0.44887E-02    -0.34016    
            309              16      13.559         0.12835         0.76609         0.49264E-04     0.83566E-03    -0.34016    
            310              16     0.42572         0.43125         0.74765         0.77796E-05     0.53062E-06    -0.34016    
            311              16     0.28123         0.33094         0.68339         0.66868E-04     0.13996E-04    -0.34016    
